parameter,display_name,unit,value,lcoe_gbp_per_mwh
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.445,94.39627535836789
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.4495,94.13069969461098
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.454,93.87038874665542
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.4585,93.61518750105886
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.463,93.36494697081946
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.4675,93.11952390533334
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.47200000000000003,92.87878051694335
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.47650000000000003,92.64258422298255
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.481,92.41080740229755
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.48550000000000004,92.18332716531214
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.49,91.96002513676116
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.4945,91.74078725028696
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.499,91.52550355414996
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,0.5035000000000001,91.31406802735799
